N,nu,E,kappa
6,0.3333333333333333333333333,-0.41171207442177565,1.0
7,0.3333333333333333333333333,-0.41157301411604913,1.0
8,0.3333333333333333333333333,-0.4114668746719672,1.0
9,0.3333333333333333333333333,-0.41140566275480167,1.0
10,0.3333333333333333333333333,-0.41132458014018525,1.0
11,0.3333333333333333333333333,-0.41121198365864725,1.0
12,0.3333333333333333333333333,-0.41118482753010804,1.0
8,0.3333333333333333333333333,-0.4114125,1.0
8,0.40,-0.4340,1.0
6,0.3333333333333333333333333,-0.41112511925181006,0.5
6,0.3333333333333333333333333,-0.41337010319217754,3.0
6,0.3333333333333333333333333,-0.4174558117131519,10.0
