N,nu,E,kappa
12,0.3333333333333333,-0.4102950067293481,0.0
18,0.3333333333333333,-0.41008217083206,0.0
24,0.3333333333333333,-0.41000014158849657,0.0
32,0.3333333333333333,-0.40992591148243757,0.0
12,0.3333333333333333,-0.4145750542359236,5.0
18,0.3333333333333333,-0.4146393589537545,5.0
24,0.3333333333333333,-0.4146833157775714,5.0
32,0.3333333333333333,-0.41463864997272515,5.0
12,0.3333333333333333,-0.41579216210740455,7.0
18,0.3333333333333333,-0.41585306385476756,7.0
24,0.3333333333333333,-0.41590701703415195,7.0
32,0.3333333333333333,-0.41591006551410514,7.0
12,0.3333333333333333,-0.41963427293225186,15.0
18,0.3333333333333333,-0.4195906705989496,15.0
24,0.3333333333333333,-0.41961718538166276,15.0
32,0.3333333333333333,-0.4194495113682321,15.0
12,0.3333333333333333,-0.42052361762762935,18.0
18,0.3333333333333333,-0.42071397903399776,18.0
24,0.3333333333333333,-0.4207366664269355,18.0
32,0.3333333333333333,-0.4207058977580465,18.0
8,0.40,-0.429634801258379,0.0
12,0.40,-0.43072932081508386,0.0
16,0.40,-0.431293218650626,0.0
20,0.40,-0.43157216427721223,0.0
26,0.40,-0.43182203810378766,0.0
32,0.40,-0.43205869744914993,0.0
8,0.40,-0.43990353452177633,3.0
12,0.40,-0.4409540857782196,3.0
16,0.40,-0.4412657077408188,3.0
20,0.40,-0.44143857647751955,3.0
26,0.40,-0.44183044614594447,3.0
32,0.40,-0.44187945962344827,3.0
8,0.40,-0.4438547840668833,5.0
12,0.40,-0.44477018722001055,5.0
16,0.40,-0.44510583551208815,5.0
20,0.40,-0.4453054945446858,5.0
26,0.40,-0.44546635011664737,5.0
32,0.40,-0.4456287683385535,5.0
8,0.40,-0.4466515696537135,7.0
12,0.40,-0.4474393939358389,7.0
16,0.40,-0.44763556750823735,7.0
20,0.40,-0.4479727784502595,7.0
26,0.40,-0.4481473283261274,7.0
32,0.40,-0.44825941209167264,7.0
8,0.40,-0.44985307805671104,10.0
12,0.40,-0.45065051287062785,10.0
16,0.40,-0.45088488924542547,10.0
20,0.40,-0.45114725723259386,10.0
26,0.40,-0.4510834654507717,10.0
32,0.40,-0.45131435988485197,10.0
6,0.3333333333333333,-0.4116440649114843,1.0
7,0.3333333333333333,-0.4115413867675116,1.0
8,0.3333333333333333,-0.4114416704493872,1.0
9,0.3333333333333333,-0.41147725823982917,1.0
10,0.3333333333333333,-0.4113704720391937,1.0
11,0.3333333333333333,-0.41132038132039406,1.0
12,0.3333333333333333,-0.41122956200529104,1.0
6,0.3333333333333333,-0.41122503963397566,0.5
6,0.3333333333333333,-0.41310199032923217,3.0
6,0.3333333333333333,-0.41700210979485963,10.0
